S.No,Time,Name,Shelves,Author,Avg Rating,No of Ratings,Score,Voters,,
1,Thu 26-08-2021 10:35:27 AM,"The Hunger Games (The Hunger Games, #1)","Want to Read
saving…











Want to Read



Currently Reading



Read







Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Suzanne Collins,4.32,6919564,3144176,32036,,
2,Thu 26-08-2021 10:35:27 AM,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",J.K. Rowling,4.5,2750781,2745277,28070,,
3,Thu 26-08-2021 10:35:27 AM,To Kill a Mockingbird,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Harper Lee,4.28,4924211,2382292,24471,,
4,Thu 26-08-2021 10:35:27 AM,Pride and Prejudice,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Jane Austen,4.27,3325442,2140026,22039,,
5,Thu 26-08-2021 10:35:27 AM,"Twilight (The Twilight Saga, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Stephenie Meyer,3.62,5381763,1502951,15320,,
6,Thu 26-08-2021 10:35:27 AM,The Book Thief,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Markus Zusak (Goodreads Author),4.38,2026275,1477296,15230,,
7,Thu 26-08-2021 10:35:27 AM,Animal Farm,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",George Orwell,3.96,3033088,1344037,13954,,
8,Thu 26-08-2021 10:35:27 AM,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",C.S. Lewis,4.26,564806,1286528,13439,,
9,Thu 26-08-2021 10:35:27 AM,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",J.R.R. Tolkien,4.6,117999,1231119,12834,,
10,Thu 26-08-2021 10:35:27 AM,The Fault in Our Stars,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",John Green (Goodreads Author),4.18,3959683,1144051,11870,,
11,Thu 26-08-2021 10:35:27 AM,Gone with the Wind,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Margaret Mitchell,4.3,1125277,1105894,11399,,
12,Thu 26-08-2021 10:35:27 AM,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Douglas Adams,4.22,1560489,1095701,11329,,
13,Thu 26-08-2021 10:35:27 AM,The Giving Tree,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Shel Silverstein,4.37,973753,1054056,10930,,
14,Thu 26-08-2021 10:35:27 AM,Wuthering Heights,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Emily Brontë,3.87,1459808,1020787,10681,,
15,Thu 26-08-2021 10:35:27 AM,The Picture of Dorian Gray,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Oscar Wilde,4.09,1089860,928726,9779,,
16,Thu 26-08-2021 10:35:27 AM,"The Da Vinci Code (Robert Langdon, #2)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Dan Brown (Goodreads Author),3.88,2064608,906107,9534,,
17,Thu 26-08-2021 10:35:27 AM,Memoirs of a Geisha,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Arthur Golden,4.13,1803547,881257,9184,,
18,Thu 26-08-2021 10:35:27 AM,Jane Eyre,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Charlotte Brontë,4.13,1754567,879158,9280,,
19,Thu 26-08-2021 10:35:27 AM,Alice's Adventures in Wonderland / Through the Looking-Glass,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Lewis Carroll,4.06,493164,863716,9121,,
20,Thu 26-08-2021 10:35:27 AM,Les Misérables,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Victor Hugo,4.18,718717,842198,8851,,
21,Thu 26-08-2021 10:35:27 AM,Fahrenheit 451,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Ray Bradbury,3.98,1869215,834873,8962,,
22,Thu 26-08-2021 10:35:27 AM,"Divergent (Divergent, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Veronica Roth (Goodreads Author),4.17,3201386,828604,8704,,
23,Thu 26-08-2021 10:35:27 AM,The Perks of Being a Wallflower,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Stephen Chbosky,4.21,1381757,822130,8632,,
24,Thu 26-08-2021 10:35:27 AM,The Great Gatsby,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",F. Scott Fitzgerald,3.93,4129361,815352,8764,,
25,Thu 26-08-2021 10:35:27 AM,Lord of the Flies,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",William Golding,3.69,2438948,802146,8532,,
