Respondent,MainBranch,Hobbyist,Age,Age1stCode,Salary,Country,WorkWeekHrs,YearsCode,YearsCodePro
1,I am a developer by profession,Yes,30,13,158818,Germany,50,36,27
2,I am a developer by profession,No,30,19,87513,United Kingdom,40,7,4
4,I am a developer by profession,Yes,25,18,84510,Albania,40,7,4
5,"I used to be a developer by profession, but no longer am",Yes,31,16,103143,United States,40,15,8
6,I am a developer by profession,No,30,14,86448,Germany,40,6,4
7,I am a developer by profession,Yes,30,18,86448,India,40,6,4
8,I am a developer by profession,Yes,36,12,116000,United States,39,17,13
9,I am a developer by profession,No,30,20,89447,Tunisia,50,6,4
10,I am a developer by profession,Yes,22,14,32315,United Kingdom,36,8,4
11,I am a developer by profession,Yes,23,13,40070,United Kingdom,40,10,2
12,I am a developer by profession,No,49,42,14268,Spain,40,7,7
13,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,53,14,38916,Netherlands,36,35,20
14,I am a developer by profession,Yes,27,13,66000,United States,40,5,1
16,I am a developer by profession,Yes,45,8,108576,United Kingdom,50,37,23
17,I am a developer by profession,Yes,25,14,79000,United States,40,7,3
18,I am a developer by profession,Yes,32,12,1260000,United States,45,19,12
19,I am a developer by profession,No,24,15,83400,United States,35,9,3
20,I am a developer by profession,Yes,40,18,133645,Spain,50,22,17
22,I am a developer by profession,Yes,30,18,90454,India,50,10,2
23,I am a developer by profession,Yes,27,14,85150,Germany,40,8,3
24,I am a developer by profession,Yes,45,14,91883,Germany,42,30,20
25,I am a developer by profession,No,30,25,127331,Portugal,40,23,18
26,I am a developer by profession,No,30,12,71093,Canada,40,17,10
27,"I used to be a developer by profession, but no longer am",Yes,30,12,127388,United States,40,20,20
30,I am a developer by profession,Yes,30,14,38778,United Kingdom,37,4,2
31,I am a developer by profession,Yes,30,20,84821,Russian Federation,40,6,3
32,I am a developer by profession,Yes,31,12,31764,Canada,37,19,10
33,I am a developer by profession,Yes,39,14,63564,Belgium,40,20,14
36,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,34,30,77556,United Kingdom,40,4,3
37,I am a developer by profession,Yes,19,16,70399,France,39,2,1
38,I am a developer by profession,No,35,14,97288,Italy,40,20,12
39,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,30,17,89024,United Kingdom,40,13,1
41,I am a developer by profession,No,30,15,106000,United States,40,25,20
42,I am a developer by profession,No,32,14,130000,United States,37,16,10
43,I am a developer by profession,Yes,30,16,135000,United States,45,36,29
44,I am a developer by profession,No,32,21,55893,Brazil,45,10,6
45,I am a developer by profession,Yes,22,13,36753,France,35,9,2
46,I am a developer by profession,Yes,24,14,37834,France,35,6,4
47,I am a developer by profession,Yes,53,10,74970,United Kingdom,40,43,28
48,I am a developer by profession,No,38,30,125000,United States,30,8,8
49,I am a developer by profession,No,23,15,52000,United States,40,8,4
50,I am a developer by profession,No,57,46,113563,Austria,35,10,9
51,I am a developer by profession,No,30,10,103615,Canada,35,23,7
52,I am a developer by profession,No,28,15,90482,United Kingdom,35,11,6
53,I am a developer by profession,Yes,17,9,68646,United States,5,8,3
54,I am a developer by profession,No,44,7,160000,United States,40,38,23
56,I am a developer by profession,Yes,27,21,84646,United States,40,6,4
57,I am a developer by profession,No,44,12,1620000,United States,43,33,23
59,I am a developer by profession,No,38,15,16488,Brazil,40,24,15
61,I am a developer by profession,Yes,31,12,105834,Mexico,40,16,9
64,I am a developer by profession,Yes,34,12,94359,United Kingdom,40,20,13
65,I am a developer by profession,Yes,34,13,1176000,United States,40,21,14
67,I am a developer by profession,Yes,35,6,250000,United States,40,30,15
69,I am a developer by profession,Yes,25,12,594539,France,40,13,3
70,I am a developer by profession,Yes,25,19,23913,United Kingdom,40,6,6
71,I am a developer by profession,Yes,23,15,79620,France,35,8,2
73,I am a developer by profession,Yes,30,12,122450,Sweden,40,23,15
74,I am a developer by profession,Yes,34,8,124092,United Kingdom,35,17,11
77,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,30,6,137531,United States,60,30,16
79,I am a developer by profession,No,28,17,37816,Canada,35,10,7
80,I am a developer by profession,Yes,32,11,94500,United States,40,21,7
82,I am a developer by profession,Yes,48,11,117000,United States,40,37,25
84,I am a developer by profession,Yes,25,12,93645,United States,60,13,2
85,I am a developer by profession,Yes,21,15,71363,United States,24,6,1
86,I am a developer by profession,Yes,26,10,108100,France,60,5,3
87,I am a developer by profession,Yes,22,17,77324,Mexico,40,5,2
89,I am a developer by profession,Yes,28,12,130000,United States,45,6,2
91,I am a developer by profession,Yes,28,25,61476,Indonesia,60,3,2
92,I am a developer by profession,Yes,31,11,57292,France,30,19,10
93,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,42,12,21620,Greece,25,24,15
94,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,21,12,37816,Canada,40,9,2
95,I am a developer by profession,Yes,30,12,71850,Canada,40,40,25
96,I am a developer by profession,Yes,29,21,35028,Israel,16,3,2
97,I am a developer by profession,Yes,30,13,75631,Canada,35,17,4
98,I am a developer by profession,No,29,15,41568,Czech Republic,40,10,5
99,I am a developer by profession,Yes,30,7,79413,Canada,40,15,9
100,I am a developer by profession,Yes,42,8,93000,United States,32,27,11
101,I am a developer by profession,Yes,55,20,161192,United States,40,30,25
102,I am a developer by profession,Yes,37,10,123306,United Kingdom,38,25,12
104,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,38,16,102022,Bosnia and Herzegovina,40,10,8
106,I am a developer by profession,Yes,24,12,46044,Germany,40,12,3
107,I am a developer by profession,Yes,29,13,148000,United States,45,5,5
110,I am a developer by profession,No,45,11,130000,United States,40,30,21
112,I am a developer by profession,Yes,28,16,65000,United States,40,11,3
113,I am a developer by profession,Yes,50,12,159880,United States,55,35,20
114,I am a developer by profession,Yes,30,7,138237,Canada,30,33,20
115,I am a developer by profession,Yes,23,14,78800,United States,39,9,2
116,I am a developer by profession,No,38,13,124507,Spain,40,25,12
117,I am a developer by profession,Yes,30,11,116333,United Kingdom,50,19,8
